Date ,Day,Month,Quarter,Year,series ,OPEN ,HIGH ,LOW ,PREV. CLOSE ,ltp ,close ,vwap ,52W H ,52W L ,VOLUME ,No of trades 
16-Aug-24,Friday,August,Q3,2024,EQ,2937.30,2960.80,2916.10,2923.70,2957.75,2956.40,2944.77,3217.60,2220.30,4708451.00,187365.00
14-Aug-24,Wednesday,August,Q3,2024,EQ,2927.10,2944.00,2907.40,2927.25,2920.10,2923.70,2925.78,3217.60,2220.30,3133733.00,185733.00
13-Aug-24,Tuesday,August,Q3,2024,EQ,2921.50,2940.15,2916.00,2921.25,2925.00,2927.25,2928.29,3217.60,2220.30,3132532.00,134517.00
12-Aug-24,Monday,August,Q3,2024,EQ,2940.00,2946.00,2915.50,2948.60,2923.00,2921.25,2929.82,3217.60,2220.30,4092292.00,188301.00
09-Aug-24,Friday,August,Q3,2024,EQ,2920.00,2953.00,2912.00,2898.25,2946.10,2948.60,2939.20,3217.60,2220.30,3124888.00,150169.00
08-Aug-24,Thursday,August,Q3,2024,EQ,2915.05,2930.00,2891.85,2929.65,2896.45,2898.25,2905.69,3217.60,2220.30,6193596.00,255138.00
07-Aug-24,Wednesday,August,Q3,2024,EQ,2938.00,2945.00,2923.00,2912.10,2930.00,2929.65,2930.89,3217.60,2220.30,4087284.00,276362.00
06-Aug-24,Tuesday,August,Q3,2024,EQ,2910.30,2955.00,2902.65,2894.65,2915.55,2912.10,2929.53,3217.60,2220.30,5118093.00,197549.00
05-Aug-24,Monday,August,Q3,2024,EQ,2960.00,2967.80,2866.50,2998.65,2896.00,2894.65,2901.81,3217.60,2220.30,8523352.00,448630.00
02-Aug-24,Friday,August,Q3,2024,EQ,3010.00,3018.65,2986.55,3030.60,2992.00,2998.65,3001.82,3217.60,2220.30,5134124.00,176635.00
01-Aug-24,Thursday,August,Q3,2024,EQ,3024.00,3036.00,3008.60,3010.85,3035.90,3030.60,3025.50,3217.60,2220.30,5382111.00,219081.00
31-Jul-24,Wednesday,July,Q3,2024,EQ,3008.00,3020.90,3002.30,3026.30,3009.00,3010.85,3010.83,3217.60,2220.30,5028673.00,201961.00
30-Jul-24,Tuesday,July,Q3,2024,EQ,3034.05,3050.00,3020.00,3040.20,3023.00,3026.30,3033.38,3217.60,2220.30,4114104.00,184296.00
29-Jul-24,Monday,July,Q3,2024,EQ,3023.90,3055.00,3023.55,3018.05,3038.25,3040.20,3038.43,3217.60,2220.30,3769275.00,170155.00
26-Jul-24,Friday,July,Q3,2024,EQ,2984.80,3024.85,2980.70,2984.80,3018.60,3018.05,3012.08,3217.60,2220.30,4929970.00,180757.00
25-Jul-24,Thursday,July,Q3,2024,EQ,2962.00,3000.95,2954.15,2991.40,2988.35,2984.80,2980.72,3217.60,2220.30,6259938.00,221753.00
24-Jul-24,Wednesday,July,Q3,2024,EQ,2970.00,3019.00,2952.80,2975.80,2988.00,2991.40,2987.68,3217.60,2220.30,5956681.00,232120.00
23-Jul-24,Tuesday,July,Q3,2024,EQ,3002.00,3011.50,2926.00,3001.35,2970.05,2975.80,2969.60,3217.60,2220.30,9026022.00,384359.00
